addr:880	 file:6A	 ram:01101110
addr:882	 file:6B	 ram:01101111
addr:883	 file:6A	 ram:01101110
addr:885	 file:73	 ram:01110111
addr:886	 file:6B	 ram:01101111
addr:889	 file:6A	 ram:01101110
addr:890	 file:69	 ram:01101101
addr:891	 file:72	 ram:01110110
addr:895	 file:72	 ram:01110110
addr:896	 file:69	 ram:01101101
addr:898	 file:70	 ram:01110100
addr:901	 file:69	 ram:01101101
addr:902	 file:72	 ram:01110110
addr:905	 file:6B	 ram:01101111
addr:906	 file:6A	 ram:01101110
addr:907	 file:61	 ram:01100101
addr:908	 file:73	 ram:01110111
addr:912	 file:78	 ram:01111100
addr:913	 file:62	 ram:01100110
addr:914	 file:63	 ram:01100111
addr:917	 file:6A	 ram:01101110
addr:919	 file:68	 ram:01101100
addr:920	 file:73	 ram:01110111
addr:921	 file:6B	 ram:01101111
addr:924	 file:69	 ram:01101101
addr:925	 file:72	 ram:01110110
addr:926	 file:79	 ram:01111101
addr:928	 file:6A	 ram:01101110
addr:929	 file:68	 ram:01101100
addr:930	 file:6B	 ram:01101111
addr:931	 file:6A	 ram:01101110
addr:932	 file:73	 ram:01110111
addr:933	 file:68	 ram:01101100
addr:936	 file:78	 ram:01111100
addr:939	 file:62	 ram:01100110
addr:940	 file:78	 ram:01111100
addr:942	 file:63	 ram:01100111
addr:943	 file:62	 ram:01100110
addr:946	 file:68	 ram:01101100
addr:947	 file:6A	 ram:01101110
addr:948	 file:6B	 ram:01101111
addr:949	 file:68	 ram:01101100
addr:950	 file:6A	 ram:01101110
addr:951	 file:6B	 ram:01101111
addr:952	 file:73	 ram:01110111
addr:953	 file:68	 ram:01101100
addr:955	 file:6A	 ram:01101110
addr:956	 file:73	 ram:01110111
addr:957	 file:6B	 ram:01101111
addr:959	 file:6A	 ram:01101110
addr:961	 file:73	 ram:01110111
addr:962	 file:68	 ram:01101100
addr:963	 file:6B	 ram:01101111
addr:966	 file:6A	 ram:01101110
addr:967	 file:68	 ram:01101100
addr:968	 file:6B	 ram:01101111
addr:969	 file:73	 ram:01110111
addr:970	 file:6A	 ram:01101110
addr:973	 file:68	 ram:01101100
addr:974	 file:6B	 ram:01101111
addr:975	 file:73	 ram:01110111
addr:976	 file:6A	 ram:01101110
addr:979	 file:68	 ram:01101100
addr:980	 file:73	 ram:01110111
addr:981	 file:6B	 ram:01101111
addr:982	 file:6A	 ram:01101110
addr:984	 file:68	 ram:01101100
addr:986	 file:6B	 ram:01101111
addr:987	 file:73	 ram:01110111
addr:988	 file:6A	 ram:01101110
addr:991	 file:68	 ram:01101100
addr:992	 file:73	 ram:01110111
addr:993	 file:6B	 ram:01101111
addr:994	 file:6A	 ram:01101110
addr:997	 file:68	 ram:01101100
addr:1000	 file:69	 ram:01101101
addr:1003	 file:72	 ram:01110110
addr:1004	 file:79	 ram:01111101
addr:1005	 file:70	 ram:01110100
addr:1007	 file:69	 ram:01101101
addr:1008	 file:70	 ram:01110100
addr:1011	 file:72	 ram:01110110
addr:1013	 file:70	 ram:01110100
addr:1016	 file:72	 ram:01110110
addr:1017	 file:69	 ram:01101101
addr:1020	 file:6B	 ram:01101111
addr:1022	 file:73	 ram:01110111
addr:1025	 file:73	 ram:01110111
addr:1026	 file:70	 ram:01110100
addr:1028	 file:69	 ram:01101101
addr:1030	 file:73	 ram:01110111
addr:1035	 file:72	 ram:01110110
addr:1037	 file:6B	 ram:01101111
